index_parent,index_child,type
1352,1331,translate
9,9,wait
9,450,rotate
9,891,rotate
9,1332,rotate
450,9,rotate
450,450,wait
450,891,rotate
450,1332,rotate
891,9,rotate
891,450,rotate
891,891,wait
891,1332,rotate
1332,9,rotate
1332,450,rotate
1332,891,rotate
1332,1332,wait
9,10,translate
892,891,translate
450,471,translate
1353,1332,translate
10,10,wait
10,451,rotate
10,892,rotate
10,1333,rotate
451,10,rotate
451,451,wait
451,892,rotate
451,1333,rotate
892,10,rotate
892,451,rotate
892,892,wait
892,1333,rotate
1333,10,rotate
1333,451,rotate
1333,892,rotate
1333,1333,wait
10,11,translate
893,892,translate
451,472,translate
1354,1333,translate
11,11,wait
11,452,rotate
11,893,rotate
11,1334,rotate
452,11,rotate
452,452,wait
452,893,rotate
452,1334,rotate
893,11,rotate
893,452,rotate
893,893,wait
893,1334,rotate
1334,11,rotate
1334,452,rotate
1334,893,rotate
1334,1334,wait
11,12,translate
894,893,translate
452,473,translate
1355,1334,translate
12,12,wait
12,453,rotate
12,894,rotate
12,1335,rotate
453,12,rotate
453,453,wait
453,894,rotate
453,1335,rotate
894,12,rotate
894,453,rotate
894,894,wait
894,1335,rotate
1335,12,rotate
1335,453,rotate
1335,894,rotate
1335,1335,wait
12,13,translate
895,894,translate
453,474,translate
1356,1335,translate
13,13,wait
13,454,rotate
13,895,rotate
13,1336,rotate
454,13,rotate
454,454,wait
454,895,rotate
454,1336,rotate
895,13,rotate
895,454,rotate
895,895,wait
895,1336,rotate
1336,13,rotate
1336,454,rotate
1336,895,rotate
1336,1336,wait
13,14,translate
896,895,translate
454,475,translate
1357,1336,translate
14,14,wait
14,455,rotate
14,896,rotate
14,1337,rotate
455,14,rotate
455,455,wait
455,896,rotate
455,1337,rotate
896,14,rotate
896,455,rotate
896,896,wait
896,1337,rotate
1337,14,rotate
1337,455,rotate
1337,896,rotate
1337,1337,wait
14,15,translate
897,896,translate
455,476,translate
1358,1337,translate
15,15,wait
15,456,rotate
15,897,rotate
15,1338,rotate
456,15,rotate
456,456,wait
456,897,rotate
456,1338,rotate
897,15,rotate
897,456,rotate
897,897,wait
897,1338,rotate
1338,15,rotate
1338,456,rotate
1338,897,rotate
1338,1338,wait
15,16,translate
898,897,translate
456,477,translate
1359,1338,translate
16,16,wait
16,457,rotate
16,898,rotate
16,1339,rotate
457,16,rotate
457,457,wait
457,898,rotate
457,1339,rotate
898,16,rotate
898,457,rotate
898,898,wait
898,1339,rotate
1339,16,rotate
1339,457,rotate
1339,898,rotate
1339,1339,wait
16,17,translate
899,898,translate
457,478,translate
1360,1339,translate
17,17,wait
17,458,rotate
17,899,rotate
17,1340,rotate
458,17,rotate
458,458,wait
458,899,rotate
458,1340,rotate
899,17,rotate
899,458,rotate
899,899,wait
899,1340,rotate
1340,17,rotate
1340,458,rotate
1340,899,rotate
1340,1340,wait
17,18,translate
900,899,translate
458,479,translate
1361,1340,translate
18,18,wait
18,459,rotate
18,900,rotate
18,1341,rotate
459,18,rotate
459,459,wait
459,900,rotate
459,1341,rotate
900,18,rotate
900,459,rotate
900,900,wait
900,1341,rotate
1341,18,rotate
1341,459,rotate
1341,900,rotate
1341,1341,wait
18,19,translate
901,900,translate
459,480,translate
1362,1341,translate
19,19,wait
19,460,rotate
19,901,rotate
19,1342,rotate
460,19,rotate
460,460,wait
460,901,rotate
460,1342,rotate
901,19,rotate
901,460,rotate
901,901,wait
901,1342,rotate
1342,19,rotate
1342,460,rotate
1342,901,rotate
1342,1342,wait
19,20,translate
902,901,translate
460,481,translate
1363,1342,translate
20,20,wait
20,461,rotate
20,902,rotate
20,1343,rotate
461,20,rotate
461,461,wait
461,902,rotate
461,1343,rotate
902,20,rotate
902,461,rotate
902,902,wait
902,1343,rotate
1343,20,rotate
1343,461,rotate
1343,902,rotate
1343,1343,wait
461,482,translate
1364,1343,translate
21,21,wait
21,462,rotate
21,903,rotate
21,1344,rotate
462,21,rotate
462,462,wait
462,903,rotate
462,1344,rotate
903,21,rotate
903,462,rotate
903,903,wait
903,1344,rotate
1344,21,rotate
1344,462,rotate
1344,903,rotate
1344,1344,wait
21,22,translate
904,903,translate
462,483,translate
1365,1344,translate
22,22,wait
22,463,rotate
22,904,rotate
22,1345,rotate
463,22,rotate
463,463,wait
463,904,rotate
463,1345,rotate
904,22,rotate
904,463,rotate
904,904,wait
904,1345,rotate
1345,22,rotate
1345,463,rotate
1345,904,rotate
1345,1345,wait
22,23,translate
905,904,translate
463,484,translate
1366,1345,translate
23,23,wait
23,464,rotate
23,905,rotate
23,1346,rotate
464,23,rotate
464,464,wait
464,905,rotate
464,1346,rotate
905,23,rotate
905,464,rotate
905,905,wait
905,1346,rotate
1346,23,rotate
1346,464,rotate
1346,905,rotate
1346,1346,wait
23,24,translate
906,905,translate
464,485,translate
1367,1346,translate
24,24,wait
24,465,rotate
24,906,rotate
24,1347,rotate
465,24,rotate
465,465,wait
465,906,rotate
465,1347,rotate
906,24,rotate
906,465,rotate
906,906,wait
906,1347,rotate
1347,24,rotate
1347,465,rotate
1347,906,rotate
1347,1347,wait
24,25,translate
907,906,translate
465,486,translate
1368,1347,translate
25,25,wait
25,466,rotate
25,907,rotate
25,1348,rotate
466,25,rotate
466,466,wait
466,907,rotate
466,1348,rotate
907,25,rotate
907,466,rotate
907,907,wait
907,1348,rotate
1348,25,rotate
1348,466,rotate
1348,907,rotate
1348,1348,wait
25,26,translate
908,907,translate
466,487,translate
1369,1348,translate
26,26,wait
26,467,rotate
26,908,rotate
26,1349,rotate
467,26,rotate
467,467,wait
467,908,rotate
467,1349,rotate
908,26,rotate
908,467,rotate
908,908,wait
908,1349,rotate
1349,26,rotate
1349,467,rotate
1349,908,rotate
1349,1349,wait
26,27,translate
909,908,translate
467,488,translate
1370,1349,translate
27,27,wait
27,468,rotate
27,909,rotate
27,1350,rotate
468,27,rotate
468,468,wait
468,909,rotate
468,1350,rotate
909,27,rotate
909,468,rotate
909,909,wait
909,1350,rotate
1350,27,rotate
1350,468,rotate
1350,909,rotate
1350,1350,wait
27,28,translate
910,909,translate
468,489,translate
1371,1350,translate
28,28,wait
28,469,rotate
28,910,rotate
28,1351,rotate
469,28,rotate
469,469,wait
469,910,rotate
469,1351,rotate
910,28,rotate
910,469,rotate
910,910,wait
910,1351,rotate
1351,28,rotate
1351,469,rotate
1351,910,rotate
1351,1351,wait
28,29,translate
911,910,translate
469,490,translate
1372,1351,translate
29,29,wait
29,470,rotate
29,911,rotate
29,1352,rotate
470,29,rotate
470,470,wait
470,911,rotate
470,1352,rotate
911,29,rotate
911,470,rotate
911,911,wait
911,1352,rotate
1352,29,rotate
1352,470,rotate
1352,911,rotate
1352,1352,wait
29,30,translate
912,911,translate
470,491,translate
1373,1352,translate
30,30,wait
30,471,rotate
30,912,rotate
30,1353,rotate
471,30,rotate
471,471,wait
471,912,rotate
471,1353,rotate
912,30,rotate
912,471,rotate
912,912,wait
912,1353,rotate
1353,30,rotate
1353,471,rotate
1353,912,rotate
1353,1353,wait
30,31,translate
913,912,translate
471,492,translate
1374,1353,translate
31,31,wait
31,472,rotate
31,913,rotate
31,1354,rotate
472,31,rotate
472,472,wait
472,913,rotate
472,1354,rotate
913,31,rotate
913,472,rotate
913,913,wait
913,1354,rotate
1354,31,rotate
1354,472,rotate
1354,913,rotate
1354,1354,wait
31,32,translate
914,913,translate
472,493,translate
1375,1354,translate
32,32,wait
32,473,rotate
32,914,rotate
32,1355,rotate
473,32,rotate
473,473,wait
473,914,rotate
473,1355,rotate
914,32,rotate
914,473,rotate
914,914,wait
914,1355,rotate
1355,32,rotate
1355,473,rotate
1355,914,rotate
1355,1355,wait
32,33,translate
915,914,translate
473,494,translate
1376,1355,translate
33,33,wait
33,474,rotate
33,915,rotate
33,1356,rotate
474,33,rotate
474,474,wait
474,915,rotate
474,1356,rotate
915,33,rotate
915,474,rotate
915,915,wait
915,1356,rotate
1356,33,rotate
1356,474,rotate
1356,915,rotate
1356,1356,wait
33,34,translate
916,915,translate
474,495,translate
1377,1356,translate
34,34,wait
34,475,rotate
34,916,rotate
34,1357,rotate
475,34,rotate
475,475,wait
475,916,rotate
475,1357,rotate
916,34,rotate
916,475,rotate
916,916,wait
916,1357,rotate
1357,34,rotate
1357,475,rotate
1357,916,rotate
1357,1357,wait
34,35,translate
917,916,translate
475,496,translate
1378,1357,translate
35,35,wait
35,476,rotate
35,917,rotate
35,1358,rotate
476,35,rotate
476,476,wait
476,917,rotate
476,1358,rotate
917,35,rotate
917,476,rotate
917,917,wait
917,1358,rotate
1358,35,rotate
1358,476,rotate
1358,917,rotate
1358,1358,wait
35,36,translate
918,917,translate
476,497,translate
1379,1358,translate
36,36,wait
36,477,rotate
36,918,rotate
36,1359,rotate
477,36,rotate
477,477,wait
477,918,rotate
477,1359,rotate
918,36,rotate
918,477,rotate
918,918,wait
918,1359,rotate
1359,36,rotate
1359,477,rotate
1359,918,rotate
1359,1359,wait
36,37,translate
919,918,translate
477,498,translate
1380,1359,translate
37,37,wait
37,478,rotate
37,919,rotate
37,1360,rotate
478,37,rotate
478,478,wait
478,919,rotate
478,1360,rotate
919,37,rotate
919,478,rotate
919,919,wait
919,1360,rotate
1360,37,rotate
1360,478,rotate
1360,919,rotate
1360,1360,wait
37,38,translate
920,919,translate
478,499,translate
1381,1360,translate
38,38,wait
38,479,rotate
38,920,rotate
38,1361,rotate
479,38,rotate
479,479,wait
479,920,rotate
479,1361,rotate
920,38,rotate
920,479,rotate
920,920,wait
920,1361,rotate
1361,38,rotate
1361,479,rotate
1361,920,rotate
1361,1361,wait
38,39,translate
921,920,translate
479,500,translate
1382,1361,translate
39,39,wait
39,480,rotate
39,921,rotate
39,1362,rotate
480,39,rotate
480,480,wait
480,921,rotate
480,1362,rotate
921,39,rotate
921,480,rotate
921,921,wait
921,1362,rotate
1362,39,rotate
1362,480,rotate
1362,921,rotate
1362,1362,wait
39,40,translate
922,921,translate
480,501,translate
1383,1362,translate
40,40,wait
40,481,rotate
40,922,rotate
40,1363,rotate
481,40,rotate
481,481,wait
481,922,rotate
481,1363,rotate
922,40,rotate
922,481,rotate
922,922,wait
922,1363,rotate
1363,40,rotate
1363,481,rotate
1363,922,rotate
1363,1363,wait
40,41,translate
923,922,translate
481,502,translate
1384,1363,translate
41,41,wait
41,482,rotate
41,923,rotate
41,1364,rotate
482,41,rotate
482,482,wait
482,923,rotate
482,1364,rotate
923,41,rotate
923,482,rotate
923,923,wait
923,1364,rotate
1364,41,rotate
1364,482,rotate
1364,923,rotate
1364,1364,wait
482,503,translate
1385,1364,translate
42,42,wait
42,483,rotate
42,924,rotate
42,1365,rotate
483,42,rotate
483,483,wait
483,924,rotate
483,1365,rotate
924,42,rotate
924,483,rotate
924,924,wait
924,1365,rotate
1365,42,rotate
1365,483,rotate
1365,924,rotate
1365,1365,wait
42,43,translate
925,924,translate
483,504,translate
1386,1365,translate
43,43,wait
43,484,rotate
43,925,rotate
43,1366,rotate
484,43,rotate
484,484,wait
484,925,rotate
484,1366,rotate
925,43,rotate
925,484,rotate
925,925,wait
925,1366,rotate
1366,43,rotate
1366,484,rotate
1366,925,rotate
1366,1366,wait
43,44,translate
926,925,translate
484,505,translate
1387,1366,translate
44,44,wait
44,485,rotate
44,926,rotate
44,1367,rotate
485,44,rotate
485,485,wait
485,926,rotate
485,1367,rotate
926,44,rotate
926,485,rotate
926,926,wait
926,1367,rotate
1367,44,rotate
1367,485,rotate
1367,926,rotate
1367,1367,wait
44,45,translate
927,926,translate
485,506,translate
1388,1367,translate
45,45,wait
45,486,rotate
45,927,rotate
45,1368,rotate
486,45,rotate
486,486,wait
486,927,rotate
486,1368,rotate
927,45,rotate
927,486,rotate
927,927,wait
927,1368,rotate
1368,45,rotate
1368,486,rotate
1368,927,rotate
1368,1368,wait
45,46,translate
928,927,translate
486,507,translate
1389,1368,translate
46,46,wait
46,487,rotate
46,928,rotate
46,1369,rotate
487,46,rotate
487,487,wait
487,928,rotate
487,1369,rotate
928,46,rotate
928,487,rotate
928,928,wait
928,1369,rotate
1369,46,rotate
1369,487,rotate
1369,928,rotate
1369,1369,wait
46,47,translate
929,928,translate
487,508,translate
1390,1369,translate
47,47,wait
47,488,rotate
47,929,rotate
47,1370,rotate
488,47,rotate
488,488,wait
488,929,rotate
488,1370,rotate
929,47,rotate
929,488,rotate
929,929,wait
929,1370,rotate
1370,47,rotate
1370,488,rotate
1370,929,rotate
1370,1370,wait
47,48,translate
930,929,translate
488,509,translate
1391,1370,translate
48,48,wait
48,489,rotate
48,930,rotate
48,1371,rotate
489,48,rotate
489,489,wait
489,930,rotate
489,1371,rotate
930,48,rotate
930,489,rotate
930,930,wait
930,1371,rotate
1371,48,rotate
1371,489,rotate
1371,930,rotate
1371,1371,wait
48,49,translate
931,930,translate
489,510,translate
1392,1371,translate
49,49,wait
49,490,rotate
49,931,rotate
49,1372,rotate
490,49,rotate
490,490,wait
490,931,rotate
490,1372,rotate
931,49,rotate
931,490,rotate
931,931,wait
931,1372,rotate
1372,49,rotate
1372,490,rotate
1372,931,rotate
1372,1372,wait
49,50,translate
932,931,translate
490,511,translate
1393,1372,translate
50,50,wait
50,491,rotate
50,932,rotate
50,1373,rotate
491,50,rotate
491,491,wait
491,932,rotate
491,1373,rotate
932,50,rotate
932,491,rotate
932,932,wait
932,1373,rotate
1373,50,rotate
1373,491,rotate
1373,932,rotate
1373,1373,wait
50,51,translate
933,932,translate
491,512,translate
1394,1373,translate
51,51,wait
51,492,rotate
51,933,rotate
51,1374,rotate
492,51,rotate
492,492,wait
492,933,rotate
492,1374,rotate
933,51,rotate
933,492,rotate
933,933,wait
933,1374,rotate
1374,51,rotate
1374,492,rotate
1374,933,rotate
1374,1374,wait
51,52,translate
934,933,translate
492,513,translate
1395,1374,translate
52,52,wait
52,493,rotate
52,934,rotate
52,1375,rotate
493,52,rotate
493,493,wait
493,934,rotate
493,1375,rotate
934,52,rotate
934,493,rotate
934,934,wait
934,1375,rotate
1375,52,rotate
1375,493,rotate
1375,934,rotate
1375,1375,wait
52,53,translate
935,934,translate
493,514,translate
1396,1375,translate
53,53,wait
53,494,rotate
53,935,rotate
53,1376,rotate
494,53,rotate
494,494,wait
494,935,rotate
494,1376,rotate
935,53,rotate
935,494,rotate
935,935,wait
935,1376,rotate
1376,53,rotate
1376,494,rotate
1376,935,rotate
1376,1376,wait
53,54,translate
936,935,translate
494,515,translate
1397,1376,translate
54,54,wait
54,495,rotate
54,936,rotate
54,1377,rotate
495,54,rotate
495,495,wait
495,936,rotate
495,1377,rotate
936,54,rotate
936,495,rotate
936,936,wait
936,1377,rotate
1377,54,rotate
1377,495,rotate
1377,936,rotate
1377,1377,wait
54,55,translate
937,936,translate
495,516,translate
1398,1377,translate
55,55,wait
55,496,rotate
55,937,rotate
55,1378,rotate
496,55,rotate
496,496,wait
496,937,rotate
496,1378,rotate
937,55,rotate
937,496,rotate
937,937,wait
937,1378,rotate
1378,55,rotate
1378,496,rotate
1378,937,rotate
1378,1378,wait
55,56,translate
938,937,translate
496,517,translate
1399,1378,translate
56,56,wait
56,497,rotate
56,938,rotate
56,1379,rotate
497,56,rotate
497,497,wait
497,938,rotate
497,1379,rotate
938,56,rotate
938,497,rotate
938,938,wait
938,1379,rotate
1379,56,rotate
1379,497,rotate
1379,938,rotate
1379,1379,wait
56,57,translate
939,938,translate
497,518,translate
1400,1379,translate
57,57,wait
57,498,rotate
57,939,rotate
57,1380,rotate
498,57,rotate
498,498,wait
498,939,rotate
498,1380,rotate
939,57,rotate
939,498,rotate
939,939,wait
939,1380,rotate
1380,57,rotate
1380,498,rotate
1380,939,rotate
1380,1380,wait
57,58,translate
940,939,translate
498,519,translate
1401,1380,translate
58,58,wait
58,499,rotate
58,940,rotate
58,1381,rotate
499,58,rotate
499,499,wait
499,940,rotate
499,1381,rotate
940,58,rotate
940,499,rotate
940,940,wait
940,1381,rotate
1381,58,rotate
1381,499,rotate
1381,940,rotate
1381,1381,wait
58,59,translate
941,940,translate
499,520,translate
1402,1381,translate
59,59,wait
59,500,rotate
59,941,rotate
59,1382,rotate
500,59,rotate
500,500,wait
500,941,rotate
500,1382,rotate
941,59,rotate
941,500,rotate
941,941,wait
941,1382,rotate
1382,59,rotate
1382,500,rotate
1382,941,rotate
1382,1382,wait
59,60,translate
942,941,translate
500,521,translate
1403,1382,translate
60,60,wait
60,501,rotate
60,942,rotate
60,1383,rotate
501,60,rotate
501,501,wait
501,942,rotate
501,1383,rotate
942,60,rotate
942,501,rotate
942,942,wait
942,1383,rotate
1383,60,rotate
1383,501,rotate
1383,942,rotate
1383,1383,wait
60,61,translate
943,942,translate
501,522,translate
1404,1383,translate
61,61,wait
61,502,rotate
61,943,rotate
61,1384,rotate
502,61,rotate
502,502,wait
502,943,rotate
502,1384,rotate
943,61,rotate
943,502,rotate
943,943,wait
943,1384,rotate
1384,61,rotate
1384,502,rotate
1384,943,rotate
1384,1384,wait
61,62,translate
944,943,translate
502,523,translate
1405,1384,translate
62,62,wait
62,503,rotate
62,944,rotate
62,1385,rotate
503,62,rotate
503,503,wait
503,944,rotate
503,1385,rotate
944,62,rotate
944,503,rotate
944,944,wait
944,1385,rotate
1385,62,rotate
1385,503,rotate
1385,944,rotate
1385,1385,wait
503,524,translate
1406,1385,translate
63,63,wait
63,504,rotate
63,945,rotate
63,1386,rotate
504,63,rotate
504,504,wait
504,945,rotate
504,1386,rotate
945,63,rotate
945,504,rotate
945,945,wait
945,1386,rotate
1386,63,rotate
1386,504,rotate
1386,945,rotate
1386,1386,wait
63,64,translate
946,945,translate
504,525,translate
1407,1386,translate
64,64,wait
64,505,rotate
64,946,rotate
64,1387,rotate
505,64,rotate
505,505,wait
505,946,rotate
505,1387,rotate
946,64,rotate
946,505,rotate
946,946,wait
946,1387,rotate
1387,64,rotate
1387,505,rotate
1387,946,rotate
1387,1387,wait
64,65,translate
947,946,translate
505,526,translate
1408,1387,translate
65,65,wait
65,506,rotate
65,947,rotate
65,1388,rotate
506,65,rotate
506,506,wait
506,947,rotate
506,1388,rotate
947,65,rotate
947,506,rotate
947,947,wait
947,1388,rotate
1388,65,rotate
1388,506,rotate
1388,947,rotate
1388,1388,wait
65,66,translate
948,947,translate
506,527,translate
1409,1388,translate
66,66,wait
66,507,rotate
66,948,rotate
66,1389,rotate
507,66,rotate
507,507,wait
507,948,rotate
507,1389,rotate
948,66,rotate
948,507,rotate
948,948,wait
948,1389,rotate
1389,66,rotate
1389,507,rotate
1389,948,rotate
1389,1389,wait
66,67,translate
949,948,translate
507,528,translate
1410,1389,translate
67,67,wait
67,508,rotate
67,949,rotate
67,1390,rotate
508,67,rotate
508,508,wait
508,949,rotate
508,1390,rotate
949,67,rotate
949,508,rotate
949,949,wait
949,1390,rotate
1390,67,rotate
1390,508,rotate
1390,949,rotate
1390,1390,wait
67,68,translate
950,949,translate
508,529,translate
1411,1390,translate
68,68,wait
68,509,rotate
68,950,rotate
68,1391,rotate
509,68,rotate
509,509,wait
509,950,rotate
509,1391,rotate
950,68,rotate
950,509,rotate
950,950,wait
950,1391,rotate
1391,68,rotate
1391,509,rotate
1391,950,rotate
1391,1391,wait
68,69,translate
951,950,translate
509,530,translate
1412,1391,translate
69,69,wait
69,510,rotate
69,951,rotate
69,1392,rotate
510,69,rotate
510,510,wait
510,951,rotate
510,1392,rotate
951,69,rotate
951,510,rotate
951,951,wait
951,1392,rotate
1392,69,rotate
1392,510,rotate
1392,951,rotate
1392,1392,wait
69,70,translate
952,951,translate
510,531,translate
1413,1392,translate
70,70,wait
70,511,rotate
70,952,rotate
70,1393,rotate
511,70,rotate
511,511,wait
511,952,rotate
511,1393,rotate
952,70,rotate
952,511,rotate
952,952,wait
952,1393,rotate
1393,70,rotate
1393,511,rotate
1393,952,rotate
1393,1393,wait
70,71,translate
953,952,translate
511,532,translate
1414,1393,translate
71,71,wait
71,512,rotate
71,953,rotate
71,1394,rotate
512,71,rotate
512,512,wait
512,953,rotate
512,1394,rotate
953,71,rotate
953,512,rotate
953,953,wait
953,1394,rotate
1394,71,rotate
1394,512,rotate
1394,953,rotate
1394,1394,wait
71,72,translate
954,953,translate
512,533,translate
1415,1394,translate
72,72,wait
72,513,rotate
72,954,rotate
72,1395,rotate
513,72,rotate
513,513,wait
513,954,rotate
513,1395,rotate
954,72,rotate
954,513,rotate
954,954,wait
954,1395,rotate
1395,72,rotate
1395,513,rotate
1395,954,rotate
1395,1395,wait
72,73,translate
955,954,translate
513,534,translate
1416,1395,translate
73,73,wait
73,514,rotate
73,955,rotate
73,1396,rotate
514,73,rotate
514,514,wait
514,955,rotate
514,1396,rotate
955,73,rotate
955,514,rotate
955,955,wait
955,1396,rotate
1396,73,rotate
1396,514,rotate
1396,955,rotate
1396,1396,wait
73,74,translate
956,955,translate
514,535,translate
1417,1396,translate
74,74,wait
74,515,rotate
74,956,rotate
74,1397,rotate
515,74,rotate
515,515,wait
515,956,rotate
515,1397,rotate
956,74,rotate
956,515,rotate
956,956,wait
956,1397,rotate
1397,74,rotate
1397,515,rotate
1397,956,rotate
1397,1397,wait
74,75,translate
957,956,translate
515,536,translate
1418,1397,translate
75,75,wait
75,516,rotate
75,957,rotate
75,1398,rotate
516,75,rotate
516,516,wait
516,957,rotate
516,1398,rotate
957,75,rotate
957,516,rotate
957,957,wait
957,1398,rotate
1398,75,rotate
1398,516,rotate
1398,957,rotate
1398,1398,wait
75,76,translate
958,957,translate
516,537,translate
1419,1398,translate
76,76,wait
76,517,rotate
76,958,rotate
76,1399,rotate
517,76,rotate
517,517,wait
517,958,rotate
517,1399,rotate
958,76,rotate
958,517,rotate
958,958,wait
958,1399,rotate
1399,76,rotate
1399,517,rotate
1399,958,rotate
1399,1399,wait
76,77,translate
959,958,translate
517,538,translate
1420,1399,translate
77,77,wait
77,518,rotate
77,959,rotate
77,1400,rotate
518,77,rotate
518,518,wait
518,959,rotate
518,1400,rotate
959,77,rotate
959,518,rotate
959,959,wait
959,1400,rotate
1400,77,rotate
1400,518,rotate
1400,959,rotate
1400,1400,wait
77,78,translate
960,959,translate
518,539,translate
1421,1400,translate
78,78,wait
78,519,rotate
78,960,rotate
78,1401,rotate
519,78,rotate
519,519,wait
519,960,rotate
519,1401,rotate
960,78,rotate
960,519,rotate
960,960,wait
960,1401,rotate
1401,78,rotate
1401,519,rotate
1401,960,rotate
1401,1401,wait
78,79,translate
961,960,translate
519,540,translate
1422,1401,translate
79,79,wait
79,520,rotate
79,961,rotate
79,1402,rotate
520,79,rotate
520,520,wait
520,961,rotate
520,1402,rotate
961,79,rotate
961,520,rotate
961,961,wait
961,1402,rotate
1402,79,rotate
1402,520,rotate
1402,961,rotate
1402,1402,wait
79,80,translate
962,961,translate
520,541,translate
1423,1402,translate
80,80,wait
80,521,rotate
80,962,rotate
80,1403,rotate
521,80,rotate
521,521,wait
521,962,rotate
521,1403,rotate
962,80,rotate
962,521,rotate
962,962,wait
962,1403,rotate
1403,80,rotate
1403,521,rotate
1403,962,rotate
1403,1403,wait
80,81,translate
963,962,translate
521,542,translate
1424,1403,translate
81,81,wait
81,522,rotate
81,963,rotate
81,1404,rotate
522,81,rotate
522,522,wait
522,963,rotate
522,1404,rotate
963,81,rotate
963,522,rotate
963,963,wait
963,1404,rotate
1404,81,rotate
1404,522,rotate
1404,963,rotate
1404,1404,wait
81,82,translate
964,963,translate
522,543,translate
1425,1404,translate
82,82,wait
82,523,rotate
82,964,rotate
82,1405,rotate
523,82,rotate
523,523,wait
523,964,rotate
523,1405,rotate
964,82,rotate
964,523,rotate
964,964,wait
964,1405,rotate
1405,82,rotate
1405,523,rotate
1405,964,rotate
1405,1405,wait
82,83,translate
965,964,translate
523,544,translate
1426,1405,translate
83,83,wait
83,524,rotate
83,965,rotate
83,1406,rotate
524,83,rotate
524,524,wait
524,965,rotate
524,1406,rotate
965,83,rotate
965,524,rotate
965,965,wait
965,1406,rotate
1406,83,rotate
1406,524,rotate
1406,965,rotate
1406,1406,wait
524,545,translate
1427,1406,translate
84,84,wait
84,525,rotate
84,966,rotate
84,1407,rotate
525,84,rotate
525,525,wait
525,966,rotate
525,1407,rotate
966,84,rotate
966,525,rotate
966,966,wait
966,1407,rotate
1407,84,rotate
1407,525,rotate
1407,966,rotate
1407,1407,wait
84,85,translate
967,966,translate
525,546,translate
1428,1407,translate
85,85,wait
85,526,rotate
85,967,rotate
85,1408,rotate
526,85,rotate
526,526,wait
526,967,rotate
526,1408,rotate
967,85,rotate
967,526,rotate
967,967,wait
967,1408,rotate
1408,85,rotate
1408,526,rotate
1408,967,rotate
1408,1408,wait
85,86,translate
968,967,translate
526,547,translate
1429,1408,translate
86,86,wait
86,527,rotate
86,968,rotate
86,1409,rotate
527,86,rotate
527,527,wait
527,968,rotate
527,1409,rotate
968,86,rotate
968,527,rotate
968,968,wait
968,1409,rotate
